waypoint1	waypoint2	distance_m	duration_s
651 Kapkowski Rd, Elizabeth, NJ 07201	McCormick Hall, Princeton, NJ 08544	62996	3299
211 Main St, West Orange, NJ 07052	651 Kapkowski Rd, Elizabeth, NJ 07201	27677	1376
1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	McCormick Hall, Princeton, NJ 08544	26750	2036
1 Metlife Stadium Dr, East Rutherford, NJ 07073	560 Northfield Ave, West Orange, NJ 07052	24919	1544
1 Hudson Pl, Hoboken, NJ 07030	39.102851, -74.814134	229327	8192
208 Broadway, Barnegat Light, NJ 08006	1000 Ocean Ave, Asbury Park, NJ 07712	95842	4674
500 Forrestal Rd, Rio Grande, NJ 08242	600 Boardwalk, Ocean City, NJ 08226	48965	2707
320 7th St, Beach Haven, NJ 08008	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	161987	6491
Beach Ave, Cape May, NJ 08204	McCormick Hall, Princeton, NJ 08544	212128	7801
560 Northfield Ave, West Orange, NJ 07052	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	54422	2640
168 Stevens St, West Cape May, NJ 08204	1000 Ocean Ave, Asbury Park, NJ 07712	179615	6826
1 Metlife Stadium Dr, East Rutherford, NJ 07073	40.238645, -74.721615	107077	4066
